HG005	EAS_CHS_HG005
HG00097	EUR_GBR_HG00097
HG00099	EUR_GBR_HG00099
HG00106	EUR_GBR_HG00106
HG00117	EUR_GBR_HG00117
HG00126	EUR_GBR_HG00126
HG00128	EUR_GBR_HG00128
HG00133	EUR_GBR_HG00133
HG00140	EUR_GBR_HG00140
HG00146	EUR_GBR_HG00146
HG00232	EUR_GBR_HG00232
HG00235	EUR_GBR_HG00235
HG00243	EUR_GBR_HG00243
HG00253	EUR_GBR_HG00253
HG00258	EUR_GBR_HG00258
HG00272	EUR_FIN_HG00272
HG00280	EUR_FIN_HG00280
HG00290	EUR_FIN_HG00290
HG00320	EUR_FIN_HG00320
HG00321	EUR_FIN_HG00321
HG00323	EUR_FIN_HG00323
HG00329	EUR_FIN_HG00329
HG00344	EUR_FIN_HG00344
HG00350	EUR_FIN_HG00350
HG00384	EUR_FIN_HG00384
HG00408	EAS_CHS_HG00408
HG00423	EAS_CHS_HG00423
HG00438	EAS_CHS_HG00438
HG00544	EAS_CHS_HG00544
HG00558	EAS_CHS_HG00558
HG00597	EAS_CHS_HG00597
HG00609	EAS_CHS_HG00609
HG00621	EAS_CHS_HG00621
HG00639	AMR_PUR_HG00639
HG00642	AMR_PUR_HG00642
HG00658	EAS_CHS_HG00658
HG00662	EAS_CHS_HG00662
HG00673	EAS_CHS_HG00673
HG00701	EAS_CHS_HG00701
HG00706	EAS_CHS_HG00706
HG00733	AMR_PUR_HG00733
HG00735	AMR_PUR_HG00735
HG00738	AMR_PUR_HG00738
HG00741	AMR_PUR_HG00741
HG00867	EAS_CDX_HG00867
HG01028	EAS_CDX_HG01028
HG01048	AMR_PUR_HG01048
HG01071	AMR_PUR_HG01071
HG01074	AMR_PUR_HG01074
HG01081	AMR_PUR_HG01081
HG01099	AMR_PUR_HG01099
HG01106	AMR_PUR_HG01106
HG01109	AMR_PUR_HG01109
HG01123	AMR_CLM_HG01123
HG01150	AMR_CLM_HG01150
HG01167	AMR_PUR_HG01167
HG01175	AMR_PUR_HG01175
HG01192	AMR_PUR_HG01192
HG01243	AMR_PUR_HG01243
HG01248	AMR_PUR_HG01248
HG01252	AMR_CLM_HG01252
HG01255	AMR_CLM_HG01255
HG01258	AMR_CLM_HG01258
HG01261	AMR_CLM_HG01261
HG01346	AMR_CLM_HG01346
HG01358	AMR_CLM_HG01358
HG01361	AMR_CLM_HG01361
HG01433	AMR_CLM_HG01433
HG01442	AMR_CLM_HG01442
HG01496	AMR_CLM_HG01496
HG01530	EUR_IBS_HG01530
HG01626	EUR_IBS_HG01626
HG01766	EUR_IBS_HG01766
HG01784	EUR_IBS_HG01784
HG01785	EUR_IBS_HG01785
HG01786	EUR_IBS_HG01786
HG01798	EAS_CDX_HG01798
HG01884	AFR_ACB_HG01884
HG01891	AFR_ACB_HG01891
HG01894	AFR_ACB_HG01894
HG01928	AMR_PEL_HG01928
HG01934	AMR_PEL_HG01934
HG01940	AMR_PEL_HG01940
HG01943	AMR_PEL_HG01943
HG01952	AMR_PEL_HG01952
HG01960	AFR_ACB_HG01960
HG01969	AMR_PEL_HG01969
HG01975	AMR_PEL_HG01975
HG01978	AMR_PEL_HG01978
HG01981	AMR_PEL_HG01981
HG01993	AMR_PEL_HG01993
HG02004	AMR_PEL_HG02004
HG02015	EAS_KHV_HG02015
HG02027	EAS_KHV_HG02027
HG02040	EAS_KHV_HG02040
HG02055	AFR_ACB_HG02055
HG02056	EAS_KHV_HG02056
HG02071	EAS_KHV_HG02071
HG02074	EAS_KHV_HG02074
HG02080	EAS_KHV_HG02080
HG02083	EAS_KHV_HG02083
HG02129	EAS_KHV_HG02129
HG02132	EAS_KHV_HG02132
HG02135	EAS_KHV_HG02135
HG02145	AFR_ACB_HG02145
HG02148	AMR_PEL_HG02148
HG02155	EAS_CDX_HG02155
HG02165	EAS_CDX_HG02165
HG02178	EAS_CDX_HG02178
HG02257	AFR_ACB_HG02257
HG02258	AFR_ACB_HG02258
HG02273	AMR_PEL_HG02273
HG02280	AFR_ACB_HG02280
HG02293	AMR_PEL_HG02293
HG02300	AMR_PEL_HG02300
HG02391	EAS_CDX_HG02391
HG02392	EAS_CDX_HG02392
HG02451	AFR_ACB_HG02451
HG02486	AFR_ACB_HG02486
HG02514	EAS_KHV_HG02514
HG02523	EAS_KHV_HG02523
HG02559	AFR_ACB_HG02559
HG02572	AFR_GWD_HG02572
HG02583	AFR_GWD_HG02583
HG02602	SAS_PJL_HG02602
HG02615	AFR_GWD_HG02615
HG02622	AFR_GWD_HG02622
HG02624	AFR_GWD_HG02624
HG02630	AFR_GWD_HG02630
HG02647	AFR_GWD_HG02647
HG02668	AFR_GWD_HG02668
HG02683	SAS_PJL_HG02683
HG02698	SAS_PJL_HG02698
HG02717	AFR_GWD_HG02717
HG02723	AFR_GWD_HG02723
HG02735	SAS_PJL_HG02735
HG02738	SAS_PJL_HG02738
HG02809	AFR_GWD_HG02809
HG02818	AFR_GWD_HG02818
HG02841	AFR_GWD_HG02841
HG02886	AFR_GWD_HG02886
HG02922	AFR_ESN_HG02922
HG02965	AFR_ESN_HG02965
HG02970	AFR_ESN_HG02970
HG02976	AFR_ESN_HG02976
HG02984	AFR_GWD_HG02984
HG03017	SAS_PJL_HG03017
HG03041	AFR_GWD_HG03041
HG03050	AFR_GWD_HG03050
HG03072	AFR_MSL_HG03072
HG03098	AFR_MSL_HG03098
HG03103	AFR_ESN_HG03103
HG03108	AFR_ESN_HG03108
HG03130	AFR_ESN_HG03130
HG03136	AFR_ESN_HG03136
HG03139	AFR_ESN_HG03139
HG03195	AFR_ESN_HG03195
HG03209	AFR_MSL_HG03209
HG03225	AFR_MSL_HG03225
HG03239	SAS_PJL_HG03239
HG03270	AFR_ESN_HG03270
HG03343	AFR_ESN_HG03343
HG03369	AFR_ESN_HG03369
HG03372	AFR_ESN_HG03372
HG03388	AFR_MSL_HG03388
HG03445	AFR_MSL_HG03445
